Wall time,Step,Value
1661909256.4815235,150000,32379648.0
1661909396.509959,300000,3114391.5
1661909535.3064868,450000,1633754.625
1661909674.3840191,600000,2187460.0
1661909815.8970647,750000,3300718.5
1661909957.7731419,900000,2105351.75
1661910099.4069357,1050000,2646834.25
1661910240.720723,1200000,1314734.0
1661910382.0547073,1350000,2523899.0
1661910524.2897353,1500000,1236584.75
1661910666.263364,1650000,2332458.25
1661910809.013794,1800000,16172635.0
1661910951.2197793,1950000,2231609.75
1661911093.5452979,2100000,1114220.375
1661911235.7701716,2250000,1619880.75
1661911378.064019,2400000,1069296.0
1661911522.4685535,2550000,1062583.25
1661911665.4265938,2700000,1057711.0
1661911808.050716,2850000,1058925.25
1661911947.0452473,3000000,567560.125
1661912086.2818847,3150000,523509.0
1661912225.824703,3300000,2603315.75
1661912365.215284,3450000,473077.375
1661912504.909756,3600000,1618038.625
1661912644.0963883,3750000,397050.9375
1661912783.2424872,3900000,384243.53125
1661912922.683344,4050000,24922766.0
1661913062.892247,4200000,305997.59375
1661913206.4820833,4350000,706332.3125
1661913350.7595012,4500000,287582.5625
1661913490.195711,4650000,3066972.75
1661913631.2240481,4800000,167656.53125
1661913773.8146548,4950000,20980710.0
1661913917.46956,5100000,16041327.0
1661914059.8718078,5250000,143539.1875
1661914202.316414,5400000,16844398.0
1661914342.7207294,5550000,3682130.25
1661914486.379463,5700000,5426527.5
1661914631.5185897,5850000,1546301.75
1661914776.8424606,6000000,1704848.75
1661914923.2038329,6150000,1930344.875
1661915068.6914814,6300000,2480863.5
1661915215.6899962,6450000,14475776.0
1661915362.9409926,6600000,3437384.5
1661915509.1457584,6750000,14473107.0
1661915655.8727038,6900000,15260448.0
1661915803.4179387,7050000,15301650.0
1661915951.579755,7200000,14611472.0
1661916098.8614519,7350000,13281947.0
1661916246.2448797,7500000,12483435.0
1661916392.3531988,7650000,512637.21875
1661916538.310248,7800000,4794030.0
1661916684.279539,7950000,4459417.0
1661916830.3348641,8100000,10958778.0
1661916977.332916,8250000,14886383.0
1661917124.6412728,8400000,16174224.0
1661917269.779826,8550000,2745403.75
1661917415.8662777,8700000,13569547.0
1661917564.4586778,8850000,16362929.0
1661917714.1330028,9000000,13454769.0
1661917862.3145633,9150000,14487152.0
1661918011.247126,9300000,3304644.0
1661918159.6656113,9450000,7282141.5
1661918306.3794487,9600000,1584283.875
1661918453.1861484,9750000,4779599.5
1661918598.2936587,9900000,11574743.0
1661918744.887108,10050000,11286482.0
1661918889.0127966,10200000,8651605.0
1661919036.0594041,10350000,5434297.5
1661919179.8938391,10500000,606264.4375
1661919321.3225346,10650000,3521189.25
1661919465.247912,10800000,12040468.0
1661919608.6499474,10950000,11172490.0
1661919751.1474593,11100000,9322661.0
1661919892.9163272,11250000,10319603.0
1661920035.0444827,11400000,10110560.0
1661920175.7787719,11550000,13587294.0
1661920318.5120702,11700000,9365090.0
1661920461.1098914,11850000,10310642.0
1661920602.7234309,12000000,1648343.125
1661920745.2843902,12150000,12147310.0
1661920887.5399854,12300000,6459173.0
1661921030.2400787,12450000,14067508.0
1661921174.4194627,12600000,12301566.0
1661921316.6112049,12750000,9691572.0
1661921459.1820426,12900000,3132022.75
1661921601.0230453,13050000,404040.21875
1661921743.406753,13200000,2517308.75
1661921885.266621,13350000,8235033.0
1661922028.6689582,13500000,10499704.0
1661922170.1536224,13650000,10896102.0
1661922311.7105715,13800000,9440265.0
1661922452.5891597,13950000,8946189.0
1661922595.540872,14100000,2158560.75
1661922737.8425272,14250000,11651760.0
1661922882.4863458,14400000,5998084.0
1661923025.8623254,14550000,7015530.0
1661923167.6671693,14700000,541042.6875
1661923308.998553,14850000,9079730.0
1661923451.3261983,15000000,4859096.0
1661923593.9009397,15150000,6779303.0
1661923737.381707,15300000,3461276.25
1661923877.7817905,15450000,2300.60986328125
1661924020.8967671,15600000,6109686.5
1661924164.1779819,15750000,7118125.0
1661924306.6076617,15900000,10179513.0
1661924450.526321,16050000,4707128.5
1661924591.2605255,16200000,690696.8125
1661924733.0785406,16350000,7408059.5
1661924874.0468836,16500000,3166330.5
1661925016.5425522,16650000,3862979.75
1661925159.7865958,16800000,1505566.375
1661925300.3820605,16950000,1579715.625
1661925441.8491158,17100000,2921864.5
1661925583.1282508,17250000,3862374.75
1661925725.8156552,17400000,2393704.5
1661925866.1001472,17550000,7159.140625
1661926010.9667795,17700000,2119814.5
1661926153.6173959,17850000,1863738.375
1661926294.1657262,18000000,2610185.5
1661926435.7739286,18150000,9026010.0
1661926577.2487736,18300000,4808619.5
1661926717.628556,18450000,1401218.625
1661926861.447044,18600000,7265438.0
1661927004.2553988,18750000,1065477.375
1661927149.6491916,18900000,1626371.5
1661927297.111339,19050000,10216923.0
1661927443.7012594,19200000,4139901.75
1661927589.5137591,19350000,603739.625
1661927735.8641372,19500000,8126794.0
1661927882.2948072,19650000,490776.0625
1661928026.2209408,19800000,10251084.0
1662050820.3614094,19950000,301037.25
1662050957.3214688,20100000,3728480.75
1662051094.5746794,20250000,209127.03125
1662051229.9101415,20400000,4184.193359375
1662051367.631381,20550000,263540.0
1662051505.9051769,20700000,108007.375
1662051643.2773492,20850000,2263700.75
1662051781.225872,21000000,41544.5703125
1662051918.8320932,21150000,2353712.0
1662052056.9744427,21300000,1044053.5
1662052197.5781922,21450000,1858137.375
1662052342.0156894,21600000,2863.44873046875
1662052485.873909,21750000,68.32029724121094
1662052629.758837,21900000,1281.623046875
1662052769.5375824,22050000,63.04031753540039
1662052909.326353,22200000,8.28276538848877
1662053047.972013,22350000,1836817.875
1662053188.3390872,22500000,120105.3671875
1662053328.6685061,22650000,369.30303955078125
1662053468.6780612,22800000,122.79588317871094
1662053610.547867,22950000,69.7540054321289
1662053751.698806,23100000,233.91090393066406
1662053892.1794372,23250000,4343098.5
1662054035.072725,23400000,31.880170822143555
1662054175.716477,23550000,97.93025207519531
1662054315.6251683,23700000,43555.44140625
1662054455.9046745,23850000,6201027.0
1662054599.5845976,24000000,2809.130859375
1662054744.415471,24150000,6266.0380859375
1662054888.1770096,24300000,597.9917602539062
1662055031.9378767,24450000,4045758.0
1662055176.023653,24600000,64933.08984375
1662055320.5157447,24750000,4413012.5
1662055465.286253,24900000,4020.73974609375
1662055610.514554,25050000,12177175.0
1662055757.0177593,25200000,27097394.0
1662055901.021935,25350000,7606.70556640625
1662056044.4011242,25500000,223.86590576171875
1662056189.1777918,25650000,6886849.0
1662056334.4301302,25800000,88300.0390625
1662056478.2019148,25950000,10228054.0
1662056623.0531523,26100000,6544518.0
1662056766.7839394,26250000,4250091.0
1662056909.5097063,26400000,216622.59375
1662057051.282652,26550000,885576.0625
1662057192.2934816,26700000,0.16642464697360992
1662057333.3960114,26850000,0.22236834466457367
1662057474.8792653,27000000,1887128.625
1662057616.3045201,27150000,0.028110628947615623
1662057757.380367,27300000,0.06075909733772278
1662057898.5529394,27450000,0.11157243698835373
1662058040.4695964,27600000,0.0972616896033287
1662058179.069455,27750000,671705.3125
1662058316.1200697,27900000,590892.25
1662058455.228943,28050000,2373958.75
1662058590.56139,28200000,1576468.25
1662058725.8562725,28350000,2085947.625
1662058862.8186793,28500000,1787879.125
1662058998.4728658,28650000,1198549.5
1662059134.057937,28800000,340024.84375
1662059269.2990265,28950000,72.58030700683594
1662059405.2531047,29100000,0.1625465601682663
1662059542.5510814,29250000,0.08201900869607925
1662059678.97941,29400000,1342922.375
1662059814.7056215,29550000,1099758.25
1662059950.5532682,29700000,309587.78125
1662060086.4177468,29850000,1874990.625
1662060223.3845994,30000000,1561103.5
1662060359.8324702,30150000,0.10855904221534729
1662060496.9022708,30300000,1959225.25
1662060632.873353,30450000,1753246.375
1662060767.823416,30600000,530614.8125
1662060903.8026521,30750000,8.960704803466797
1662061038.9532213,30900000,1581719.875
1662061176.9632165,31050000,1584702.625
1662061314.8507323,31200000,847223.6875
1662061452.5971065,31350000,616417.25
1662061592.1392007,31500000,664017.5
1662061729.6314573,31650000,2260.89501953125
1662061868.0527873,31800000,2234384.25
1662062005.5873814,31950000,903257.25
1662062144.1623063,32100000,445.3548583984375
1662062280.9762144,32250000,1045715.25
1662062417.8642151,32400000,9348.6767578125
1662062554.8745632,32550000,1545419.625
1662062691.6736765,32700000,1418087.125
1662062830.3706472,32850000,2608178.0
1662062970.5563824,33000000,9.3388090133667
1662063109.3083117,33150000,2177772.75
1662063249.5048895,33300000,2169.959228515625
1662063387.8519154,33450000,16.719533920288086
1662063526.031551,33600000,23.50358772277832
1662063664.6470268,33750000,58.79508972167969
1662063803.0845451,33900000,25.7112979888916
1662063941.4402058,34050000,12.195570945739746
1662064081.2741961,34200000,235548.265625
1662064220.5746326,34350000,865160.3125
1662064359.970359,34500000,80.63642120361328
1662064497.8747792,34650000,93.49666595458984
1662064636.6179779,34800000,1926.802001953125
1662064774.9464214,34950000,554924.8125
1662064911.7558124,35100000,2385952.0
1662065046.9037752,35250000,1337509.0
1662065181.725643,35400000,1982787.5
1662065317.459592,35550000,5.8431477546691895
1662065459.2092037,35700000,356059.96875
1662065599.499157,35850000,5925010.5
1662065744.6079578,36000000,6655.47216796875
1662065888.9222646,36150000,2111499.0
1662066030.4363518,36300000,827435.5625
1662066175.4153237,36450000,11359.470703125
1662066317.1169074,36600000,1944508.375
1662066458.1065369,36750000,607527.8125
1662066599.7360656,36900000,2191628.0
1662066741.4189277,37050000,1206547.625
1662066883.8726165,37200000,467663.375
1662067027.2471123,37350000,1644609.125
1662067169.462495,37500000,1981255.75
1662067310.9270866,37650000,1174660.75
1662067453.8028233,37800000,6024295.5
1662067594.919669,37950000,1519373.0
1662067734.8287776,38100000,546333.3125
1662067875.4983428,38250000,1914343.375
1662068016.5855432,38400000,1208302.75
1662068158.6250463,38550000,1124205.5
1662068300.9939852,38700000,871467.6875
1662068442.4045324,38850000,1849314.25
1662068584.3741891,39000000,282605.5625
1662068726.9926345,39150000,584803.5625
1662068867.3316543,39300000,1925644.625
1662069008.3395345,39450000,1739138.875
1662069149.7193117,39600000,1330710.125
1662386522.3329117,39750000,7138010.5
1662386660.770325,39900000,761347.125
1662386799.8012047,40050000,702.0777587890625
1662386938.673691,40200000,24174.369140625
1662387077.952258,40350000,100726.7890625
1662387217.9468932,40500000,12212319.0
1662387358.5727854,40650000,20539302.0
1662387498.445264,40800000,4277748.0
1662387637.6027396,40950000,1238348.5
1662387812.7361822,41100000,1316562.875
1662387953.5670574,41250000,1801162.0
1662388095.0057423,41400000,1569650.0
1662388235.6859865,41550000,2483568.75
1662388377.490975,41700000,2347926.5
1662388519.1873002,41850000,5312735.0
1662388662.6780372,42000000,1473583.0
1662388808.4316857,42150000,14661563.0
1662388954.6205325,42300000,4282971.0
1662389099.7327383,42450000,5607599.5
1662389244.8933437,42600000,16781812.0
1662389390.2194407,42750000,1779.343994140625
1662389535.393506,42900000,3736.4599609375
1662389681.5628598,43050000,11127866.0
1662389827.9505818,43200000,11200117.0
