Wall time,Step,Value
1661979746.7478633,150000,10854158.0
1661979867.9542396,300000,60196500.0
1661979990.048742,450000,42397704.0
1661980112.8215296,600000,65016928.0
1661980234.3630078,750000,45954792.0
1661980354.1592767,900000,10863500.0
1661980476.8419313,1050000,51995940.0
1661980601.5545106,1200000,10557508.0
1661980724.1325874,1350000,100545416.0
1661980847.2708662,1500000,10323735.0
1661980971.1621962,1650000,22135258.0
1661981094.6345983,1800000,10379818.0
1661981219.7489986,1950000,10598798.0
1661981342.835126,2100000,98000248.0
1661981467.2282205,2250000,99255264.0
1661981593.1040392,2400000,10419952.0
1661981712.9869504,2550000,10448350.0
1661981835.6641805,2700000,99489592.0
1661981959.1370955,2850000,10349601.0
1661982082.8185697,3000000,98615416.0
1661982205.6975105,3150000,10552842.0
1661982328.4628327,3300000,10439084.0
1661982452.7959168,3450000,96648896.0
1661982576.680584,3600000,10345519.0
1661982699.8326108,3750000,9880011.0
1661982819.4382076,3900000,10340955.0
1661982941.160763,4050000,13817692.0
1661983062.4095967,4200000,10358088.0
1661983187.8768735,4350000,10102712.0
1661983313.255974,4500000,22859568.0
1661983436.7080917,4650000,10235407.0
1661983561.1835172,4800000,10225750.0
1661983688.1168404,4950000,13133625.0
1661983813.6349368,5100000,98178672.0
1661983937.719467,5250000,9992836.0
1661984058.378051,5400000,96022744.0
1661984178.649109,5550000,9902632.0
1661984300.840309,5700000,97586576.0
1661984424.8169196,5850000,9998318.0
1661984549.8441737,6000000,11501685.0
1661984669.485999,6150000,10014566.0
1661984789.864379,6300000,94928208.0
1661984916.1493018,6450000,97396216.0
1661985040.5425067,6600000,9771777.0
1661985159.7091682,6750000,14129207.0
1661985280.151001,6900000,9707580.0
1661985397.845714,7050000,9777796.0
1661985516.8669844,7200000,8993299.0
1661985637.0865471,7350000,94182056.0
1661985757.066057,7500000,96301200.0
1661985879.1506007,7650000,14065301.0
1661986001.70632,7800000,19558452.0
1661986124.6231134,7950000,9845449.0
1661986247.32167,8100000,9444095.0
1661986372.168689,8250000,9498398.0
1661986493.6715128,8400000,13575987.0
1661986616.2697806,8550000,9158485.0
1661986738.1924632,8700000,95601992.0
1661986858.540468,8850000,9688704.0
1661986980.5523515,9000000,9289790.0
1661987100.2657428,9150000,9692497.0
1661987222.1310549,9300000,9341192.0
1661987344.6003726,9450000,9571398.0
1661987466.4907725,9600000,9205739.0
1661987586.324325,9750000,9543604.0
1661987708.9918222,9900000,13598226.0
1661987830.7841485,10050000,9494885.0
1661987953.0535395,10200000,9266822.0
1661988074.2102375,10350000,94396560.0
1661988196.2525556,10500000,9057406.0
1661988318.9842114,10650000,26444836.0
1661988444.9332347,10800000,39321948.0
1661988565.519768,10950000,9394192.0
1661988686.4682078,11100000,9045976.0
1661988809.8633947,11250000,9283985.0
1661988931.459977,11400000,10460601.0
1661989053.1122332,11550000,13761871.0
1661989172.8147264,11700000,9238852.0
1661989292.7683296,11850000,93974704.0
1661989410.8703718,12000000,9017259.0
1661989531.6664307,12150000,92747168.0
1661989653.7606163,12300000,93959048.0
1661989776.3596964,12450000,8848757.0
1661989899.7521267,12600000,91621696.0
1661990023.439309,12750000,8779788.0
1661990147.7178273,12900000,93165664.0
1661990269.6557415,13050000,8863074.0
1661990390.8551233,13200000,92080792.0
1661990513.5674176,13350000,91843376.0
1661990635.8279448,13500000,14648009.0
1661990756.650665,13650000,8749179.0
1661990877.9956799,13800000,8619297.0
1661990997.8317022,13950000,8892786.0
1661991118.53263,14100000,90671520.0
1661991237.8895175,14250000,11857758.0
1661991359.0685086,14400000,90146016.0
1661991479.5822456,14550000,90659048.0
1661991602.8230402,14700000,92077800.0
1661991722.5466995,14850000,8458162.0
1661991844.0945408,15000000,8514247.0
1661991965.189892,15150000,8378740.5
1661992085.2951844,15300000,11693889.0
1661992207.7820742,15450000,8676757.0
1661992328.1352713,15600000,8516473.0
1661992449.5520203,15750000,8395148.0
1661992571.110482,15900000,8051501.0
1661992695.9923704,16050000,8539746.0
1661992819.7568934,16200000,8388372.0
1661992942.99539,16350000,89634848.0
1661993065.7616405,16500000,8108835.0
1661993191.2243495,16650000,8274628.0
1661993316.5222309,16800000,8458615.0
1661993438.4649658,16950000,9193122.0
1661993562.9020023,17100000,8400938.0
1661993688.4276478,17250000,8414451.0
1661993813.6728494,17400000,89243960.0
1661993939.8837328,17550000,89344856.0
1661994064.8069026,17700000,89260112.0
1661994189.2171829,17850000,8059108.5
1661994310.098169,18000000,8093635.0
1661994431.222935,18150000,8006015.5
1661994550.1808205,18300000,8112408.5
1661994671.2887146,18450000,8156423.0
1661994792.0194993,18600000,8009398.5
1661994913.6826136,18750000,8195292.0
1661995033.1162865,18900000,8138590.0
1661995153.7131603,19050000,8025247.0
1661995274.5294986,19200000,8137728.5
1661995396.8339324,19350000,8098482.0
1661995518.600558,19500000,8015222.0
1661995642.7082486,19650000,8016973.0
1661995766.7238092,19800000,88941832.0
1662034834.621436,19950000,7936613.0
1662034954.0901096,20100000,68133216.0
1662035071.9007294,20250000,7976580.0
1662035194.4992113,20400000,7764938.0
1662035317.5822794,20550000,88489560.0
1662035438.7380526,20700000,89162592.0
1662035560.2100616,20850000,7680785.0
1662035682.2441356,21000000,86609888.0
1662035803.5897958,21150000,7691155.5
1662035926.4726849,21300000,87512064.0
1662036048.4899287,21450000,7677878.5
1662036172.649342,21600000,87657816.0
1662036293.6892416,21750000,7511529.0
1662036416.3446655,21900000,86513896.0
1662036536.627806,22050000,7497293.0
1662036658.4981115,22200000,86054680.0
1662036780.130232,22350000,88135016.0
1662036901.1206257,22500000,7616160.5
1662037025.0121186,22650000,87571264.0
1662037145.5803967,22800000,7598175.5
1662037268.2418654,22950000,86312648.0
1662037388.2319896,23100000,7541518.5
1662037508.1463585,23250000,7352304.5
1662037628.2878315,23400000,7268240.5
1662037749.8716166,23550000,84719528.0
1662037872.2565665,23700000,7460510.5
1662037994.8527453,23850000,7389135.0
1662038118.469118,24000000,7204642.0
1662038242.711742,24150000,84869080.0
1662038366.0839152,24300000,7400460.5
1662038486.3912861,24450000,86180432.0
1662038607.0028272,24600000,7259567.0
1662038728.1601677,24750000,7277162.0
1662038847.8499796,24900000,84399856.0
1662038965.9168315,25050000,85577224.0
1662039083.0169716,25200000,7097479.0
1662039202.248462,25350000,85448008.0
1662039322.0597982,25500000,7167273.5
1662039442.2331636,25650000,85311512.0
1662039561.3511877,25800000,84032064.0
1662039681.1603746,25950000,86104864.0
1662039800.8594534,26100000,7158011.0
1662039922.153304,26250000,6915462.0
1662040043.9910836,26400000,9450378.0
1662040166.3443737,26550000,7098915.0
1662040289.994869,26700000,83463392.0
1662040411.5881264,26850000,6838753.5
1662040533.7967484,27000000,7043000.5
1662040655.9217224,27150000,6995240.5
1662040778.639831,27300000,6791396.5
1662040901.9702299,27450000,6987886.0
1662041024.1334648,27600000,84570416.0
1662041142.6478436,27750000,82588904.0
1662041263.0003376,27900000,84437432.0
1662041382.0325828,28050000,84988264.0
1662041502.3235283,28200000,6561968.0
1662041621.476588,28350000,6840899.0
1662041740.4742694,28500000,6623206.5
1662041860.3407502,28650000,6625699.0
1662041979.091548,28800000,82908712.0
1662042099.4503198,28950000,6783269.5
1662042220.5277877,29100000,84365832.0
1662042340.6167424,29250000,6449737.0
1662042460.202412,29400000,81789128.0
1662042579.1844475,29550000,6611050.0
1662042698.7301419,29700000,7597185.0
1662042816.9964063,29850000,6393192.5
1662042939.6562881,30000000,81776304.0
1662043061.274839,30150000,6424875.5
1662043179.4143798,30300000,6616004.5
1662043300.3145385,30450000,6540106.5
1662043423.2154284,30600000,81507200.0
1662043544.3139737,30750000,6558919.5
1662043663.984947,30900000,81136824.0
1662043784.3100975,31050000,6446986.5
1662043903.1438506,31200000,81225000.0
1662044022.4219577,31350000,6323084.5
1662044141.798356,31500000,6458517.5
1662044262.629605,31650000,80637840.0
1662044384.130648,31800000,83070152.0
1662044506.0594134,31950000,6414932.0
1662044628.1216137,32100000,6390969.5
1662044750.6206267,32250000,82104560.0
1662044872.303068,32400000,6192679.5
1662044991.3064065,32550000,6167204.5
1662045111.3556144,32700000,81873376.0
1662045230.021465,32850000,8971937.0
1662045349.5912442,33000000,25143372.0
1662045470.1926804,33150000,80461680.0
1662045593.8398845,33300000,73621864.0
1662045714.9365675,33450000,6173846.0
1662045836.423509,33600000,6100659.0
