Wall time,Step,Value
1665400225.5875592,150000,10735586.0
1665400364.2503111,300000,10665793.0
1665400502.2274206,450000,10992453.0
1665400640.8713372,600000,10415953.0
1665400778.0868733,750000,16669341.0
1665400916.7400384,900000,10819331.0
1665401055.486087,1050000,18250114.0
1665401194.1310418,1200000,10561398.0
1665401331.945152,1350000,10480998.0
1665401471.1475618,1500000,10621054.0
1665401610.7827,1650000,16283248.0
1665401774.3757763,1800000,14060462.0
1665401912.985559,1950000,11545335.0
1665402051.618055,2100000,10526197.0
1665402189.1615973,2250000,14623607.0
1665402326.128667,2400000,10618549.0
1665402464.693567,2550000,11713865.0
1665402604.5002701,2700000,14961134.0
1665402741.8387303,2850000,10447094.0
1665402880.6759214,3000000,96517664.0
1665403019.5685685,3150000,10209577.0
1665403157.3933282,3300000,11370718.0
1665403296.004389,3450000,98928744.0
1665403433.347035,3600000,10178393.0
1665403570.8038192,3750000,10160447.0
1665403708.8943954,3900000,10025277.0
1665403846.4177678,4050000,9941496.0
1665403984.8437521,4200000,9722667.0
1665404163.3746715,4350000,97532048.0
1665404380.432877,4500000,10175844.0
1665404522.983126,4650000,97742488.0
1665404659.657965,4800000,10055847.0
1665404798.9922757,4950000,97693216.0
1665404937.7080128,5100000,10007314.0
1665405076.593605,5250000,10022698.0
1665405213.8803253,5400000,10231656.0
1665405352.1756032,5550000,9779586.0
1665405489.5082064,5700000,9952374.0
1665405628.231862,5850000,96778144.0
1665405767.4290884,6000000,97006560.0
1665405905.4878743,6150000,9048775.0
1665406035.1707606,6300000,12845283.0
1665406173.4560175,6450000,9899036.0
1665406312.1829069,6600000,9689355.0
1665406450.39355,6750000,9487041.0
1665406587.2757456,6900000,9353458.0
1665406726.7010686,7050000,97009568.0
1665406865.7383041,7200000,9599280.0
1665407004.5732064,7350000,9838962.0
1665407143.740403,7500000,9622863.0
1665407282.4729307,7650000,96508728.0
1665407419.8120701,7800000,9404241.0
1665407558.377069,7950000,9457804.0
1665407695.6727529,8100000,9368458.0
1665407834.6262736,8250000,94972272.0
1665407972.940432,8400000,9505699.0
1665408111.9473243,8550000,9620265.0
1665408249.5111513,8700000,9737110.0
1665408386.343199,8850000,9424361.0
1665408524.1225572,9000000,10710475.0
1665408660.7072222,9150000,9295101.0
1665408798.794093,9300000,9341129.0
1665408936.8916523,9450000,9217154.0
1665409074.3448164,9600000,12876889.0
1665409212.8152354,9750000,9132929.0
1665409350.986833,9900000,16135941.0
1665409528.7145352,10050000,9049716.0
1665409667.6189575,10200000,9221632.0
1665409806.38955,10350000,9080371.0
1665409944.0885272,10500000,9261300.0
1665410096.2451088,10650000,8689926.0
1665410234.9609098,10800000,9099397.0
1665410386.0017154,10950000,8702022.0
1665410523.9915946,11100000,8717119.0
1665410662.1092975,11250000,8891064.0
1665410798.8897953,11400000,8998277.0
1665410936.8667252,11550000,8938286.0
1665411075.4174044,11700000,8909098.0
1665411213.9769106,11850000,8717586.0
1665411352.174409,12000000,9139728.0
1665411561.7227402,12150000,8439267.0
1665411774.7464912,12300000,16294954.0
1665411939.6049073,12450000,10474050.0
1665412077.713126,12600000,8519194.0
1665412216.053953,12750000,12496832.0
1665412354.4705865,12900000,8338406.0
1665412492.166121,13050000,13304502.0
1665412631.148587,13200000,8472046.0
1665412769.8339238,13350000,8598839.0
1665412909.421704,13500000,8527182.0
1665413047.730025,13650000,8436563.0
1665413186.665157,13800000,8537861.0
1665413325.3784313,13950000,8550118.0
1665413462.7317216,14100000,8382253.5
1665413600.4598243,14250000,8084394.0
1665413738.5057669,14400000,8310786.0
1665413877.8396251,14550000,8078667.0
1665414016.4233372,14700000,13855822.0
1665414153.7203317,14850000,8382047.0
1665414291.9302347,15000000,9806698.0
1665414428.8784595,15150000,8594754.0
1665414565.6919293,15300000,8496366.0
1665414703.2577136,15450000,8263455.5
1665414840.330138,15600000,8537261.0
1665414977.263082,15750000,8185768.5
1665415115.052883,15900000,19527862.0
1665415252.8895252,16050000,8345029.5
1665415390.6207223,16200000,8171727.5
1665415528.944949,16350000,8197516.0
1665415666.283051,16500000,7802790.0
1665415803.0382805,16650000,8178831.5
1665415941.3452466,16800000,7968123.5
1665416078.3204906,16950000,8309799.0
1665416215.0076785,17100000,7975282.0
1665416384.4631627,17250000,7981773.0
1665416522.633528,17400000,11060968.0
1665416662.172508,17550000,7987237.0
1665416801.9504488,17700000,7807825.0
1665416942.0634582,17850000,7646699.0
1665417082.2414694,18000000,8192866.5
1665417222.293257,18150000,7807179.0
1665417368.032993,18300000,7820550.0
1665417513.9796665,18450000,7844527.5
1665417654.5541086,18600000,7947013.5
1665417793.7473931,18750000,8052932.5
1665417935.204399,18900000,76133752.0
1665418075.289885,19050000,7864498.0
1665418214.1923878,19200000,7685885.5
1665418354.260267,19350000,66683568.0
1665418494.499506,19500000,7597644.0
1665418634.0910435,19650000,13938998.0
1665418773.6684794,19800000,7421001.5
1665528168.9839702,19950000,7735018.0
1665528395.8940914,20100000,7586597.5
1665528620.3500383,20250000,7521814.0
1665528851.7284577,20400000,7639408.5
1665529079.9552479,20550000,7730473.5
1665529304.7339716,20700000,7669290.5
1665529524.5786533,20850000,13965484.0
1665529744.233604,21000000,7351370.5
1665529969.7345707,21150000,7374289.0
1665530196.0871422,21300000,7478125.0
1665530431.7301152,21450000,7319191.0
1665530659.3516176,21600000,7328323.5
1665530881.7305336,21750000,7212556.5
1665531099.9555182,21900000,7421667.5
1665531326.8381279,22050000,7344782.5
1665531546.0256383,22200000,7482392.5
1665531772.2514355,22350000,7338614.0
1665532004.821451,22500000,7201795.5
1665532231.9255364,22650000,54465680.0
1665532454.1307142,22800000,63804276.0
1665532678.9648447,22950000,7252374.0
1665532904.8811276,23100000,6811194.0
1665533129.5274951,23250000,50389304.0
1665533357.6298933,23400000,16086259.0
1665533581.6726003,23550000,6993707.0
1665533815.0795436,23700000,9599953.0
