Wall time,Step,Value
1661928171.5173569,150000,32526376.0
1661928314.8521574,300000,1721303.25
1661928458.921803,450000,3441700.0
1661928603.4534783,600000,1535935.25
1661928747.5723615,750000,2146508.25
1661928891.4489827,900000,5402932.5
1661929030.6380749,1050000,1381344.5
1661929169.8739572,1200000,1314039.625
1661929310.9365492,1350000,1293037.875
1661929454.0491116,1500000,1227652.375
1661929596.5128498,1650000,1177878.125
1661929739.5889344,1800000,1157643.75
1661929882.1957662,1950000,1697576.0
1661930025.3767087,2100000,1642941.5
1661930169.4264872,2250000,16729353.0
1661930313.7418356,2400000,1070017.125
1661930458.1630976,2550000,1077745.75
1661930602.2325366,2700000,5608205.0
1661930745.9456778,2850000,1070078.0
1661930890.3264227,3000000,18332914.0
1661931033.7836933,3150000,15232644.0
1661931177.2647452,3300000,11376172.0
1661931321.6509175,3450000,8654957.0
1661931465.8358305,3600000,9650697.0
1661931609.1323423,3750000,5683130.0
1661931753.9566996,3900000,3184770.5
1661931897.6320136,4050000,759978.5625
1661932041.5219514,4200000,277441.1875
1661932185.4321983,4350000,1578218.25
1661932328.7962403,4500000,245707.3125
1661932472.7613924,4650000,216123.28125
1661932616.0582674,4800000,207213.59375
1661932760.111299,4950000,18752180.0
1661932905.7061365,5100000,23206382.0
1661933050.930169,5250000,19404784.0
1661933196.907779,5400000,159872.59375
1661933343.613301,5550000,5549486.5
1661933488.8176987,5700000,13148059.0
1661933635.0836263,5850000,17307452.0
1661933781.8754368,6000000,6685630.5
1661933926.8643723,6150000,6750376.0
1661934071.988137,6300000,5254634.0
1661934218.8723707,6450000,17594396.0
1661934365.9890375,6600000,238111.90625
1661934511.774078,6750000,12269410.0
1661934657.6888635,6900000,496074.15625
1661934805.375456,7050000,7981124.5
1661934951.6479666,7200000,14456294.0
1661935097.9009528,7350000,15495455.0
1661935244.0397654,7500000,738967.25
1661935390.0983558,7650000,693364.4375
1661935536.7558153,7800000,90384.5078125
1661935684.3155313,7950000,11588062.0
1661935830.7265592,8100000,250159.9375
1661935977.2247703,8250000,3443208.25
1661936124.0593674,8400000,1812408.625
1661936269.3333929,8550000,7177543.0
1661936415.720652,8700000,5102679.0
1661936561.6577857,8850000,10633539.0
1661936708.7856977,9000000,1005675.8125
1661936855.9035645,9150000,1140176.5
1661937001.0535045,9300000,3118072.75
1661937148.0244408,9450000,9766070.0
1661937294.9820223,9600000,12521053.0
1661937442.8088832,9750000,2636703.25
1661937589.5288675,9900000,10677455.0
1661937735.7660298,10050000,11265496.0
1661937881.1081712,10200000,12594411.0
1661938029.9544876,10350000,10772733.0
1661938177.0611205,10500000,9546326.0
1661938322.9544377,10650000,10292487.0
1661938470.2163596,10800000,61227.20703125
1661938618.756717,10950000,9665873.0
1661938766.2994785,11100000,8995894.0
1661938914.5094297,11250000,12721977.0
1661939061.007639,11400000,784865.125
1661939209.162757,11550000,10005197.0
1661939355.5483682,11700000,9970812.0
1661939504.1834626,11850000,14152982.0
1661939652.3931847,12000000,2409660.0
1661939795.3901286,12150000,4070851.25
1661939936.393116,12300000,9107351.0
1661940077.497368,12450000,19973556.0
1661940217.5849106,12600000,7338208.5
1661940359.474964,12750000,9222023.0
1661940501.916985,12900000,14099137.0
1661940643.5025773,13050000,935549.9375
1661940785.9994786,13200000,9997991.0
1661940928.5734096,13350000,8006406.0
1661941069.528657,13500000,5970273.0
1661941209.8284142,13650000,412309.0625
1661941348.8061204,13800000,6855045.0
1661941489.388927,13950000,6699532.5
1661941630.573532,14100000,464035.5
1661941772.6986995,14250000,6712681.0
1661941914.7699604,14400000,12666644.0
1661942059.0553458,14550000,6966722.5
1661942202.3315616,14700000,787245.75
1661942345.5329807,14850000,6140522.0
1661942485.431454,15000000,2727872.5
1661942626.3773844,15150000,5754391.5
1661942767.7233005,15300000,7209602.0
1661942908.6788297,15450000,1915072.0
1661943051.1268163,15600000,7246936.5
1661943191.5080526,15750000,10102239.0
1661943333.8527713,15900000,7085512.0
1661943475.6286225,16050000,61903.23046875
1661943619.239208,16200000,10156157.0
1661943762.9082048,16350000,6960451.5
1661943906.638951,16500000,1033018.5625
1661944047.7901707,16650000,315766.34375
1661944187.5430737,16800000,1533051.5
1661944328.1078649,16950000,11809372.0
1661944469.2349555,17100000,5788558.0
1661944611.125358,17250000,4428809.5
1661944752.087522,17400000,2603572.0
1661944894.2242177,17550000,568014.6875
1661945036.73008,17700000,8280775.0
1661945179.454839,17850000,6160413.0
1661945324.2443438,18000000,14866043.0
1661945470.3659582,18150000,3903389.75
1661945617.5511537,18300000,5282666.0
1661945765.2853858,18450000,2760371.0
1661945910.235437,18600000,6616380.0
1661946057.379179,18750000,17583016.0
1661946203.4980927,18900000,5731.6513671875
1661946351.6150649,19050000,1047653.1875
1661946498.4482498,19200000,910607.5
1661946644.0347161,19350000,3339751.5
1661946792.7259843,19500000,10076258.0
1661946939.8353553,19650000,2048450.5
1661947085.0445518,19800000,2634816.75
1662085730.8177047,19950000,1667378.75
1662085873.394139,20100000,1807123.875
1662086011.8631747,20250000,186285.078125
1662086150.1549459,20400000,2168466.5
1662086288.929066,20550000,1287957.0
1662086429.0578775,20700000,83661.0
