Wall time,Step,Value
1661947209.0293474,150000,13940531.0
1661947329.926028,300000,10522845.0
1661947452.3407588,450000,10680457.0
1661947575.1628177,600000,28764514.0
1661947700.235164,750000,10399927.0
1661947823.8120294,900000,13199917.0
1661947946.122402,1050000,10300805.0
1661948067.3442426,1200000,10557127.0
1661948190.465291,1350000,10442776.0
1661948313.8552606,1500000,10737297.0
1661948438.3611467,1650000,14536166.0
1661948562.3764844,1800000,20226854.0
1661948682.782865,1950000,14308584.0
1661948806.167098,2100000,10329192.0
1661948927.4066312,2250000,10622895.0
1661949050.6014493,2400000,12256427.0
1661949174.9596915,2550000,87621720.0
1661949301.719495,2700000,99663128.0
1661949425.7582524,2850000,21177410.0
1661949549.63396,3000000,10348760.0
1661949671.9496317,3150000,10304100.0
1661949793.7054641,3300000,10314612.0
1661949916.8452935,3450000,9680490.0
1661950038.8053803,3600000,11666447.0
1661950163.6009881,3750000,94050280.0
1661950288.9437988,3900000,10211652.0
1661950411.3320339,4050000,11774569.0
1661950535.9712358,4200000,10414705.0
1661950658.5357037,4350000,10221629.0
1661950782.7306566,4500000,10216452.0
1661950904.298349,4650000,9913415.0
1661951026.3735902,4800000,13393379.0
1661951148.7541077,4950000,96426320.0
1661951270.323951,5100000,15810627.0
1661951395.8202486,5250000,9590470.0
1661951520.2154033,5400000,17880988.0
1661951645.642622,5550000,32914566.0
1661951769.4895892,5700000,10059733.0
1661951891.1364279,5850000,14411522.0
1661952014.823735,6000000,9513890.0
1661952135.4894173,6150000,9905992.0
1661952255.7652717,6300000,9315815.0
1661952379.6619196,6450000,12686810.0
1661952503.031358,6600000,9635279.0
1661952627.9881582,6750000,9765265.0
1661952751.7609057,6900000,9653890.0
1661952876.2677221,7050000,9380200.0
1661952996.6650257,7200000,12494176.0
1661953120.2685375,7350000,9561612.0
1661953244.238131,7500000,9439523.0
1661953369.148798,7650000,9462581.0
1661953493.1290357,7800000,12438621.0
1661953618.1181657,7950000,95640440.0
1661953739.26206,8100000,9331731.0
1661953862.0727086,8250000,20605038.0
1661953984.398799,8400000,9427164.0
1661954108.6511831,8550000,12851214.0
1661954232.8650398,8700000,16889398.0
1661954358.5728583,8850000,95150584.0
1661954482.323418,9000000,9066138.0
1661954604.9544866,9150000,9546998.0
1661954728.4124854,9300000,12434511.0
1661954851.4791412,9450000,9286283.0
1661954975.7558453,9600000,9156945.0
1661955099.9851565,9750000,14735652.0
1661955228.1147032,9900000,9055211.0
1661955352.4010246,10050000,8979425.0
1661955476.9949107,10200000,20157394.0
1661955600.5146427,10350000,11793601.0
1661955724.616547,10500000,8976785.0
1661955847.150462,10650000,13296191.0
1661955968.0162146,10800000,25012254.0
1661956087.4353118,10950000,20883294.0
1661956207.9237642,11100000,8740671.0
1661956326.6873255,11250000,8706749.0
1661956447.1712081,11400000,8751564.0
1661956568.7636302,11550000,8700086.0
1661956690.0162067,11700000,10302839.0
1661956812.1535585,11850000,8710630.0
1661956932.7136059,12000000,9063262.0
1661957053.5997055,12150000,8608603.0
1661957175.28945,12300000,44648108.0
1661957298.6035855,12450000,8465448.0
1661957419.4571083,12600000,8482619.0
1661957540.902418,12750000,8553919.0
1661957665.1476035,12900000,11737215.0
1661957790.5954182,13050000,8969217.0
1661957915.619371,13200000,12377709.0
1661958038.238125,13350000,8492747.0
1661958163.7684226,13500000,8603500.0
1661958287.0497847,13650000,11740284.0
1661958408.3723445,13800000,8422937.0
1661958531.1445088,13950000,8407465.0
1661958655.695198,14100000,17344566.0
1661958781.47311,14250000,72175176.0
1661958906.176636,14400000,8254581.5
1661959030.013422,14550000,12358294.0
1661959153.323621,14700000,8573381.0
1661959278.2208064,14850000,8355709.0
1661959404.9264953,15000000,8396541.0
1661959528.9424276,15150000,8258675.5
1661959654.390994,15300000,8007517.0
1661959778.5178242,15450000,8079194.0
1661959903.6116314,15600000,8494963.0
1661960027.4221332,15750000,8423843.0
1661960152.2711341,15900000,8129850.5
1661960273.622199,16050000,8109910.5
1661960395.3542128,16200000,7932804.5
1661960518.6433506,16350000,7797991.5
1661960639.9950233,16500000,8200345.0
1661960761.1252353,16650000,8215580.5
1661960886.7176273,16800000,33657988.0
1661961014.15697,16950000,28589828.0
1661961138.66325,17100000,7735557.0
1661961263.1321423,17250000,8335539.5
1661961386.831464,17400000,8179447.0
1661961507.7245057,17550000,8109300.5
1661961631.1426206,17700000,70203864.0
1661961755.691863,17850000,11320241.0
1661961877.3774486,18000000,8022116.5
1661962002.194394,18150000,7823476.5
1661962123.661641,18300000,7992264.5
1661962243.7445815,18450000,7949076.5
1661962364.8941858,18600000,10861844.0
1661962485.0337408,18750000,7832074.0
1661962606.0817912,18900000,7727677.0
1661962728.0920403,19050000,8064513.5
1661962846.7934728,19200000,7601621.0
1661962969.061343,19350000,11423955.0
1661963090.3121846,19500000,7638721.0
1661963210.6126797,19650000,79585400.0
1661963331.6099346,19800000,41637772.0
1662123085.3052423,19950000,11976649.0
1662123207.8715544,20100000,60653852.0
1662123328.3392117,20250000,7681708.0
1662123453.5775275,20400000,45136876.0
1662123579.8902194,20550000,66788200.0
1662123705.9327128,20700000,7769671.0
1662123831.8419251,20850000,58146380.0
1662123952.5199318,21000000,30820380.0
1662124075.431183,21150000,7772907.0
1662124196.5760138,21300000,49701780.0
1662124319.7635014,21450000,33174692.0
1662124442.2133696,21600000,21131370.0
1662124567.101327,21750000,41048620.0
1662124693.0585387,21900000,13140152.0
1662124812.6855834,22050000,10283212.0
1662124935.724546,22200000,23467148.0
1662125055.9592896,22350000,19553074.0
1662125179.2342248,22500000,39138232.0
1662125305.2539313,22650000,36256364.0
1662125431.063704,22800000,25803632.0
1662125556.222391,22950000,45925128.0
1662125680.0061486,23100000,88783288.0
1662125800.6465974,23250000,8572102.0
1662125920.811875,23400000,89330584.0
1662126046.726815,23550000,7621899.5
1662126173.0505636,23700000,7598951.0
1662126289.6969562,23850000,7543740.5
1662126408.1788979,24000000,64465716.0
1662126529.7490206,24150000,57125048.0
1662126650.9261038,24300000,33453618.0
1662126775.9913223,24450000,33010544.0
1662126905.433184,24600000,7680633.5
1662127025.5247056,24750000,8865948.0
1662127152.1088543,24900000,8064732.5
1662127276.7753918,25050000,66244456.0
1662127400.8299284,25200000,88326136.0
1662127526.5653949,25350000,46019356.0
1662127651.0820296,25500000,74505712.0
1662127775.014913,25650000,84027336.0
1662127902.113042,25800000,32412164.0
1662128031.9824016,25950000,7545699.0
1662128152.3927522,26100000,45376316.0
1662128275.6439457,26250000,8765886.0
1662128395.8338912,26400000,55265220.0
1662128519.1075993,26550000,84193024.0
1662128642.2904017,26700000,42829512.0
1662128769.7733526,26850000,34392140.0
1662128900.9389226,27000000,35374712.0
1662129032.6668885,27150000,34821580.0
1662129160.0551465,27300000,71503720.0
1662129289.3971045,27450000,88215192.0
1662129417.8320417,27600000,55922468.0
1662129547.7077458,27750000,13905344.0
1662129668.9109893,27900000,15473918.0
1662129793.7263389,28050000,34852468.0
1662129920.1307995,28200000,30355016.0
1662130041.2825549,28350000,28444688.0
1662130166.255044,28500000,88377296.0
1662130290.6110177,28650000,48297772.0
1662130418.7741702,28800000,7607196.5
1662130546.342061,28950000,25889054.0
1662130672.671663,29100000,94978144.0
1662130800.5287054,29250000,7642185.0
1662130936.7757165,29400000,32656054.0
1662131070.2702441,29550000,7630566.5
1662131199.6074197,29700000,37505144.0
1662131321.8789012,29850000,49064328.0
1662131442.775551,30000000,45689264.0
1662131566.4873695,30150000,8257116.0
1662131691.0372279,30300000,47289084.0
1662131817.2392256,30450000,88327800.0
1662131943.9243808,30600000,50357076.0
1662132070.887308,30750000,27742724.0
1662132197.1387506,30900000,15074301.0
1662132321.802264,31050000,13975896.0
1662132449.57122,31200000,24024086.0
1662132573.087757,31350000,13568670.0
1662132698.3754656,31500000,89082088.0
1662132821.9198828,31650000,51902824.0
1662132942.149544,31800000,25060024.0
1662133065.9910033,31950000,85541808.0
1662133191.8583205,32100000,38025056.0
1662133321.6508265,32250000,26616782.0
1662133464.9201653,32400000,86876096.0
1662133614.4217987,32550000,85181840.0
1662133812.5420861,32700000,14777691.0
1662133990.2717514,32850000,49722052.0
1662134185.2758074,33000000,87128856.0
1662134366.7627964,33150000,10760115.0
1662134565.6148322,33300000,87711648.0
1662134745.7574441,33450000,7037277.5
1662134936.7713253,33600000,33629076.0
1662135107.6083121,33750000,86709608.0
1662135298.1799452,33900000,113591488.0
1662135495.1972797,34050000,11242673.0
1662135700.3969538,34200000,91380688.0
1662135891.1537282,34350000,88938984.0
1662136071.4427366,34500000,87037504.0
1662136261.952974,34650000,84908224.0
1662136443.781696,34800000,6878355.0
1662136644.1251473,34950000,51138036.0
1662136820.489724,35100000,7411540.0
1662137006.0131223,35250000,6756755.0
1662137190.2731204,35400000,6958323.0
1662137396.8452353,35550000,6858906.5
1662137593.9652898,35700000,6750839.0
1662137793.1978905,35850000,86127968.0
1662138002.9261057,36000000,85528096.0
1662138208.0929081,36150000,86053920.0
1662138391.6075351,36300000,52384296.0
1662138588.4852204,36450000,59303932.0
1662138789.3477592,36600000,7008735.0
1662138969.970572,36750000,7545764.5
1662139176.6063752,36900000,72342680.0
1662139353.2850106,37050000,7474594.0
1662139517.9810836,37200000,8843151.0
1662139722.1883838,37350000,6859626.0
1662139894.5754561,37500000,6408851.5
1662140084.3842833,37650000,32193800.0
1662140277.9665208,37800000,64226460.0
1662140488.5619733,37950000,6437553.5
1662140698.5561645,38100000,85922560.0
1662140902.3438597,38250000,8206822.0
1662141072.7902296,38400000,6879200.5
1662141244.423712,38550000,9002308.0
1662141449.3643408,38700000,6670926.0
1662141632.9929664,38850000,72230488.0
1662141817.2117124,39000000,84901960.0
1662142016.3428252,39150000,63620720.0
1662142213.4933305,39300000,55726796.0
1662142398.8841016,39450000,37430284.0
1662142590.3233166,39600000,10234718.0
1662422680.4966056,39750000,6642635.0
1662422809.9269423,39900000,87289712.0
1662422936.9693177,40050000,53627852.0
1662423061.822796,40200000,85052784.0
1662423187.7664108,40350000,85365280.0
1662423313.414512,40500000,85594216.0
1662423439.7523413,40650000,58978468.0
1662423567.2872043,40800000,85026792.0
1662423694.9647627,40950000,14852872.0
1662423817.9715948,41100000,6543269.0
